County,Tabulator ID,Batch,# of Ballot Cards,Location
Montezuma,102,1,25,Box 1
Montezuma,102,2,25,Box 1
Montezuma,102,3,25,Box 1
Montezuma,102,4,25,Box 1
Montezuma,102,5,25,Box 1
Montezuma,102,6,25,Box 1
Montezuma,102,7,25,Box 1
Montezuma,102,8,25,Box 1
Montezuma,102,9,25,Box 1
Montezuma,102,10,25,Box 1
Montezuma,102,11,25,Box 1
Montezuma,102,12,25,Box 1
Montezuma,102,13,25,Box 1
Montezuma,102,14,25,Box 1
Montezuma,102,15,25,Box 1
Montezuma,102,16,25,Box 1
Montezuma,102,17,25,Box 1
Montezuma,102,18,25,Box 1
Montezuma,102,19,25,Box 1
Montezuma,102,20,25,Box 1
Montezuma,102,21,25,Box 1
Montezuma,102,22,25,Box 1
Montezuma,102,23,25,Box 1
Montezuma,102,24,25,Box 1
Montezuma,102,25,25,Box 1
Montezuma,102,26,25,Box 1
Montezuma,102,27,25,Box 1
Montezuma,102,28,25,Box 1
Montezuma,102,29,25,Box 1
Montezuma,102,30,25,Box 1
Montezuma,102,31,25,Box 1
Montezuma,102,32,25,Box 1
Montezuma,102,33,25,Box 1
Montezuma,102,34,25,Box 1
Montezuma,102,35,25,Box 1
Montezuma,102,36,25,Box 1
Montezuma,102,37,25,Box 1
Montezuma,102,38,25,Box 1
Montezuma,102,39,25,Box 1
Montezuma,102,41,25,Box 1
Montezuma,102,42,25,Box 1
Montezuma,102,43,25,Box 1
Montezuma,102,44,25,Box 1
Montezuma,102,45,25,Box 1
Montezuma,102,46,25,Box 1
Montezuma,102,47,25,Box 1
Montezuma,102,48,25,Box 1
Montezuma,102,49,25,Box 1
Montezuma,102,50,25,Box 1
Montezuma,102,51,25,Box 1
Montezuma,102,52,25,Box 1
Montezuma,102,53,25,Box 1
Montezuma,102,54,25,Box 1
Montezuma,102,55,25,Box 1
Montezuma,102,56,25,Box 1
Montezuma,102,57,25,Box 1
Montezuma,102,58,25,Box 1
Montezuma,102,59,25,Box 1
Montezuma,102,60,25,Box 1
Montezuma,102,61,25,Box 1
Montezuma,102,62,25,Box 1
Montezuma,102,63,25,Box 1
Montezuma,102,64,25,Box 1
Montezuma,102,65,25,Box 1
Montezuma,102,66,25,Box 1
Montezuma,102,67,25,Box 1
Montezuma,102,68,25,Box 1
Montezuma,102,69,25,Box 1
Montezuma,102,70,25,Box 1
Montezuma,102,71,25,Box 1
Montezuma,102,72,25,Box 1
Montezuma,102,73,25,Box 1
Montezuma,102,74,25,Box 1
Montezuma,102,75,25,Box 1
Montezuma,102,76,25,Box 1
Montezuma,102,77,25,Box 1
Montezuma,102,78,25,Box 1
Montezuma,102,79,25,Box 1
Montezuma,102,80,25,Box 1
Montezuma,102,81,25,Box 1
Montezuma,102,82,25,Box 1
Montezuma,102,83,25,Box 1
Montezuma,102,84,25,Box 1
Montezuma,102,85,25,Box 1
Montezuma,102,86,25,Box 1
Montezuma,102,87,25,Box 1
Montezuma,102,88,25,Box 1
Montezuma,102,89,25,Box 1
Montezuma,102,90,25,Box 1
Montezuma,102,91,25,Box 1
